Date,Sector,Sector Score
2021-07-06,Technology,71.15
2021-07-06,Healthcare,70.83
2021-07-06,Communication Services,66.67
2021-07-06,Leveraged Stock Index,66.67
2021-07-06,Index,60.00
2021-07-06,Consumer Cyclical,56.57
2021-07-06,Real Estate,50.00
2021-07-06,Industrials,46.05
2021-07-06,Sector Spyder,40.00
2021-07-06,Consumer Defensive,35.00
2021-07-06,Energy,34.38
2021-07-06,Financial Services,30.26
2021-07-06,Utilities,29.63
2021-07-06,Inverse Index,26.32
2021-07-06,Basic Materials,24.24
2021-07-06,MSCI,9.52
